photo,lien,titre,mots_cles
38188748,https://www.pexels.com/photo/38188748/,Dome of La Grave and Pont Saint-Pierre illuminated at night in Toulouse,"toulouse, la grave dome, pont saint-pierre, garonne river, france, night photography, illuminated, historic architecture, truss bridge, street lamps, night sky, reflection, cityscape, ville rose, riverside, european travel, landmark, dusk lighting, warm glow, urban skyline"
38188749,https://www.pexels.com/photo/38188749/,"Vertical night view of La Grave's dome beside Pont Saint-Pierre, Toulouse","toulouse, la grave dome, pont saint-pierre, garonne river, france, night photography, vertical composition, illuminated, historic architecture, street lamps, night sky, reflection, ville rose, riverside, cityscape, european travel, landmark, dusk lighting, warm glow, solitary walker"
38256668,https://www.pexels.com/photo/38256668/,Close-up of a white plush unicorn toy with soft bokeh background,"unicorn, plush toy, stuffed animal, kids toy, golden horn, cute, whimsical, close-up, macro, bokeh, blurred background, white, fantasy, childhood, nursery decor, playful, magical, indoor, soft lighting, toy photography"
38256669,https://www.pexels.com/photo/38256669/,Monochrome still life of a floral pillow and phone on rumpled bedding,"black and white, monochrome, bed, bedding, floral pillow, smartphone, still life, cozy, lifestyle, textile, wrinkled sheets, morning, home interior, minimalist, close-up, top view, phone on bed, pattern, soft light, relaxation"
38256829,https://www.pexels.com/photo/38256829/,Relaxed portrait of a man with a straw hat leaning on a tree branch,"man, portrait, lifestyle, straw hat, tattoo, sunglasses, outdoor, tree branch, nature, summer, casual, smiling, bald, beard, candid, dappled light, greenery, adult male, relaxed mood, park"
38279502,https://www.pexels.com/photo/38279502/,Delicate white rose blooming among glossy green leaves in sunlight,"white rose, rose, flower, blossom, petals, garden, macro, close-up, botanical, nature, stamens, green leaves, spring bloom, delicate, floral, sunlight, fresh, bloom, plant, soft focus"
38279503,https://www.pexels.com/photo/38279503/,Black and white close-up of a magpie perched among tree branches,"magpie, bird, black and white, monochrome, wildlife, perched, tree branch, feathers, nature, garden bird, corvid, avian, close-up, foliage, urban wildlife, european bird, beak, tail feathers, spring, woodland"
38279505,https://www.pexels.com/photo/38279505/,Black and white view of a tree-lined promenade with benches in Niort,"niort, france, tree-lined promenade, avenue, black and white, monochrome, park bench, walkway, summer, shade, trees, deux-sevres, urban park, public garden, pedestrian path, quiet, greenery, symmetry, french town, tranquil"
38279507,https://www.pexels.com/photo/38279507/,White roses frame abstract animal sculptures on a Niort street,"niort, france, street art, sculpture, public art, white roses, rose bush, urban scene, city street, architecture, flowers, pedestrian street, summer, sunny day, french town, blooms, streetscape, contemporary sculpture, roadside, storefronts"
38279511,https://www.pexels.com/photo/38279511/,Close-up of pale green and white hydrangea blossoms in full bloom,"hydrangea, hortensia, flower, blossom, macro, close-up, pale green, white flowers, floral cluster, botanical, garden, nature, petals, summer bloom, delicate, soft colors, mophead hydrangea, lush, plant, fresh"
38279512,https://www.pexels.com/photo/38279512/,Vivid pink petunias blooming beside clusters of red garden flowers,"petunia, pink flowers, red flowers, garden flowers, macro, close-up, floral, summer bloom, colorful, bedding plants, botanical, nature, blossom, vivid colors, petals, flower bed, vibrant, outdoor garden, sunlight, blooming"
38279514,https://www.pexels.com/photo/38279514/,Pink albizia blossoms shade a stone monument in a Niort square,"niort, france, albizia julibrissin, silk tree, pink blossoms, mimosa tree, stone monument, public square, summer, park, pedestrian, urban landscape, french town, trees, shade, memorial, plaza, greenery, sunny day, walking"
38279515,https://www.pexels.com/photo/38279515/,"Public bus passing sculpted street art in central Niort, France","niort, france, city bus, public transport, street scene, sculpture, pedestrians, shops, urban life, storefronts, downtown, summer, city center, transit, french town, streetscape, architecture, daily life, sidewalk, candid"
