Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
Picturesque view of Château de Villandry and gardens reflected in a tranquil pond,https://images.pexels.com/photos/38694048/pexels-photo-38694048.jpeg,Loire Valley château gardens,,"Picturesque view of Château de Villandry and gardens reflected in a tranquil pond. Royalty-free photo by Karl Forterre, free to download on Pexels.",https://www.pexels.com/photo/chateau-de-villandry-scenic-view-france-38694048/,,
"A breathtaking view of the Milky Way and starry sky captured in Galicia, Spain",https://images.pexels.com/photos/39595391/pexels-photo-39595391.jpeg,Sky and astrophotography,,"A breathtaking view of the Milky Way and starry sky captured in Galicia, Spain. Royalty-free photo by Karl Forterre, free to download on Pexels.",https://www.pexels.com/photo/stunning-night-sky-with-milky-way-in-galicia-39595391/,,
"Laboral Ciudad de la Cultura facade in black and white, Gijón",https://images.pexels.com/photos/39670628/pexels-photo-39670628.jpeg,Black and white,,"Laboral Ciudad de la Cultura facade in black and white, Gijón. Royalty-free photo by Karl Forterre, free to download on Pexels. laboral ciudad de la cultura, facade, bell tower, dome, gijon, asturias, spain, landmark, heritage architecture, black and white.",https://www.pexels.com/photo/39670628/,,"laboral ciudad de la cultura, facade, bell tower, dome, gijon, asturias, spain, landmark, heritage architecture, black and white"
Delicate pink and white cosmos flower glowing in garden sunlight,https://images.pexels.com/photos/39532050/pexels-photo-39532050.jpeg,Flowers and macro,,"Delicate pink and white cosmos flower glowing in garden sunlight. Royalty-free photo by Karl Forterre, free to download on Pexels. cosmos flower, cosmos bipinnatus, macro photography, pink flower, bokeh, garden, floral, close-up, delicate petals, yellow stamen.",https://www.pexels.com/photo/39532050/,,"cosmos flower, cosmos bipinnatus, macro photography, pink flower, bokeh, garden, floral, close-up, delicate petals, yellow stamen"
Close-up portrait of a man in sunglasses and a white cap,https://images.pexels.com/photos/39434692/pexels-photo-39434692.jpeg,Portraits,,"Close-up portrait of a man in sunglasses and a white cap. Royalty-free photo by Karl Forterre, free to download on Pexels. man, portrait, close up, baseball cap, sunglasses, bokeh, beard, street photography, candid, blurred background.",https://www.pexels.com/photo/39434692/,,"man, portrait, close up, baseball cap, sunglasses, bokeh, beard, street photography, candid, blurred background"
"Modern library interior with glass shelving in Gijón, Spain",https://images.pexels.com/photos/39670619/pexels-photo-39670619.jpeg,Abstract backgrounds,,"Modern library interior with glass shelving in Gijón, Spain. Royalty-free photo by Karl Forterre, free to download on Pexels. library, bookshelf, glass shelving, black and white, monochrome, modern architecture, interior design, gijon, asturias, spain.",https://www.pexels.com/photo/39670619/,,"library, bookshelf, glass shelving, black and white, monochrome, modern architecture, interior design, gijon, asturias, spain"
"Close-up of two gold wedding rings on fabric, accented with emerald gems, symbolizes commitment and ",https://images.pexels.com/photos/38781489/pexels-photo-38781489.jpeg,Wedding,,"Close-up of two gold wedding rings on fabric, accented with emerald gems, symbolizes commitment and . Royalty-free photo by Karl Forterre, free to download on Pexels.",https://www.pexels.com/photo/elegant-gold-wedding-rings-with-gemstone-accent-38781489/,,
Pink apartment building with a Basque lauburu symbol in Irun,https://images.pexels.com/photos/39423924/pexels-photo-39423924.jpeg,Basque Country,,"Pink apartment building with a Basque lauburu symbol in Irun. Royalty-free photo by Karl Forterre, free to download on Pexels. irun, gipuzkoa, euskadi, basque country, spain, lauburu, basque symbol, apartment building, pink facade, residential architecture.",https://www.pexels.com/photo/39423924/,,"irun, gipuzkoa, euskadi, basque country, spain, lauburu, basque symbol, apartment building, pink facade, residential architecture"
Ornate red and white villa on a wooded hillside in Gijón,https://images.pexels.com/photos/39670624/pexels-photo-39670624.jpeg,Asturias,,"Ornate red and white villa on a wooded hillside in Gijón. Royalty-free photo by Karl Forterre, free to download on Pexels. villa, mansion, red and white facade, gijon, asturias, spain, architecture, telephoto, indiano villa, hillside.",https://www.pexels.com/photo/39670624/,,"villa, mansion, red and white facade, gijon, asturias, spain, architecture, telephoto, indiano villa, hillside"
Panoramic view of As Catedrais rock arches on the Ribadeo coast,https://images.pexels.com/photos/39564918/pexels-photo-39564918.jpeg,Galicia,,"Panoramic view of As Catedrais rock arches on the Ribadeo coast. Royalty-free photo by Karl Forterre, free to download on Pexels. as catedrais, cathedrals beach, ribadeo, lugo, galicia, spain, panorama, rock arch, flysch formation, atlantic coast.",https://www.pexels.com/photo/39564918/,,"as catedrais, cathedrals beach, ribadeo, lugo, galicia, spain, panorama, rock arch, flysch formation, atlantic coast"
Star-topped statue rises above rooftops in Santiago de Compostela,https://images.pexels.com/photos/39455694/pexels-photo-39455694.jpeg,Camino de Santiago,,"Star-topped statue rises above rooftops in Santiago de Compostela. Royalty-free photo by Karl Forterre, free to download on Pexels. statue, star, santiago de compostela, galicia, spain, camino de santiago, heritage landmark, historic architecture, low angle, clear sky.",https://www.pexels.com/photo/39455694/,,"statue, star, santiago de compostela, galicia, spain, camino de santiago, heritage landmark, historic architecture, low angle, clear sky"
Pic du Midi d'Ossau's distinctive peak rising above hazy foothills,https://images.pexels.com/photos/39212543/pexels-photo-39212543.jpeg,Pyrenees,,"Pic du Midi d'Ossau's distinctive peak rising above hazy foothills. Royalty-free photo by Karl Forterre, free to download on Pexels. pic du midi d'ossau, pyrenees, ossau valley, pau, france, mountain peak, haze, landscape, tree branches, blue tones.",https://www.pexels.com/photo/39212543/,,"pic du midi d'ossau, pyrenees, ossau valley, pau, france, mountain peak, haze, landscape, tree branches, blue tones"
"Detailed view of the Monument aux Girondins statue in Bordeaux, France",https://images.pexels.com/photos/39386274/pexels-photo-39386274.jpeg,Bordeaux,,"Detailed view of the Monument aux Girondins statue in Bordeaux, France. Royalty-free photo by Karl Forterre, free to download on Pexels.",https://www.pexels.com/photo/monument-aux-girondins-sculpture-in-bordeaux-39386274/,,
Pedestrian crossing a Niort plaza lined with sculptural street art,https://images.pexels.com/photos/38279517/pexels-photo-38279517.jpeg,Niort and Poitou,,"Pedestrian crossing a Niort plaza lined with sculptural street art. Royalty-free photo by Karl Forterre, free to download on Pexels. niort, france, street art, public square, pedestrian, sculpture, city street, storefronts, summer, downtown.",https://www.pexels.com/photo/38279517/,,"niort, france, street art, public square, pedestrian, sculpture, city street, storefronts, summer, downtown"
