anglais,chinois
14 july,7月14日
19th century,19世纪
4k,4K
4k background,4K背景
abandoned,废弃
abandoned building,废弃建筑
abandoned railway,废弃铁路
abbey,修道院
abbey church,修道院教堂
abelia,六道木
abelia flowers,六道木花
abstract,抽象
abstract art,抽象艺术
abstract background,抽象背景
abstract expressionism,抽象表现主义
acier,钢铁
action,动作
active lifestyle,积极生活方式
activity,活动
adorable,可爱
adorable pet,可爱宠物
adult,成人
adult male,成年男性
adventure,冒险
aerial view,航拍
after rain,雨后
afterparty,派对余兴
agriculture,农业
aid,援助
air vent,通风口
airplane,飞机
airplane contrail,飞机尾迹
airplane contrails,飞机尾迹线
alarm clock,闹钟
albizia julibrissin,合欢树
alcohol,酒精
alcove,壁龛
alert ears,竖耳
allegorical figure,寓言人物
allegorical figures,寓言人物
alleyway,小巷
almond cake,杏仁蛋糕
altar,祭坛
althea,木槿
amber,琥珀色
ambient light,环境光
amethyst,紫水晶
anarchy,无政府主义
anatomy,解剖
anchorage,锚地
ancient,古代
ancient house,古宅
ancient monument,古迹
ancient sculpture,古代雕塑
andromeda galaxy,仙女座星系
angel,天使
angel wings,天使翅膀
anger,愤怒
angers,昂热
angle of photography,拍摄角度
angler,垂钓者
angora,安哥拉
angoulême,昂古莱姆
animal,动物
animal curiosity,动物好奇心
animal lover,动物爱好者
animal photography,动物摄影
animals,动物
anomaly,异常
antenna,天线
antique,古董
antique kitchen,古董厨房
apartment building,公寓楼
apartment buildings,公寓楼
aperitif,开胃酒
apple,苹果
apse,后殿
aqua,水蓝色
aquatic,水生
aquatic plant,水生植物
aquatic plants,水生植物
aqueduct,引水渠
arbre,树
arc de triomphe,凯旋门
arc en ciel,彩虹
arcade,拱廊
arcades,拱廊
arch,拱门
arch bridge,拱桥
archaelogy,考古
archaeology,考古
archangel,大天使
archangel michael,大天使米迦勒
arched entrance,拱形入口
arched windows,拱形窗
arches,拱门
arching trunk,弯曲的树干
archipelago,群岛
architectural,建筑
architectural pattern,建筑图案
architecture,建筑
architecture detail,建筑细节
archs,拱门
arctic,北极
argentique,胶片摄影
armistice,停战
aromatic herb,芳香草本
arrière plan,背景
arrows,箭头
art,艺术
artefact lumineux,光斑
artifact,文物
artifacts,文物
artificial fir,人造冷杉
artillery,火炮
artisanal fishing,传统捕鱼
artistic,艺术
artistic angle,艺术视角
artwork,艺术品
as catedrais,大教堂海滩
asia,亚洲
asian culture,亚洲文化
asian restaurant,亚洲餐厅
asphalt,柏油路面
assertive,自信
astrography,天体摄影
astrology,占星术
astronomical,天文
astronomical art,天文艺术
astronomy,天文学
astrophotography,天文摄影
astrophysics,天体物理学
asturias,阿斯图里亚斯
at home,在家
atlantic coast,大西洋海岸
atlantic ocean,大西洋
atmosphere,氛围
atmospheric,氛围感
atmospheric haze,薄雾
atrium,中庭
attentive,专注
attic room,阁楼房间
authentic,真实
author,作者
automotive,汽车
autumn,秋天
autumn atmosphe,秋日氛围
autumn colors,秋色
autumn colours,秋色
autumn ferns,秋季蕨类
autumn harvest,秋季收获
autumn leaves,秋叶
autumn trees,秋天的树
autumnal,秋意
aventurine,砂金石
avenue,大道
avian,鸟类
aviation,航空
awnings,遮阳篷
azura,天蓝色
baby blue,淡蓝色
baby dog,小狗
back,背部
backgound,背景
backgroud,背景
background,背景
background bokeh,背景虚化
backgrounds,背景
backlight,逆光
backlit,逆光
backpack,背包
bacon,培根
baguette,法棍
baguette sandwich,法棍三明治
bain,沐浴
baking,烘焙
balconies,阳台
balcony,阳台
balcony railing,阳台栏杆
bald,秃头
bald cypress,落羽杉
balsamic glaze,香醋酱
balustrade,栏杆
bamboo,竹子
bank,河岸
bar,酒吧
barbed,带刺
barbed wire,铁丝网
bare branches,光秃树枝
bare trees,光秃树木
bare wall,空墙
barefoot,赤脚
barista,咖啡师
bark,树皮
barn,谷仓
baroque altarpiece,巴洛克祭坛画
baroque architecture,巴洛克建筑
baroque tower,巴洛克塔楼
barque,小船
barques,平底小船
barrier,屏障
barriers,屏障
bas-relief,浮雕
baseball cap,棒球帽
basilica,大教堂
basket of nuts,一篮坚果
basking,晒太阳
basque,巴斯克
basque country,巴斯克地区
basque culture,巴斯克文化
basque symbol,巴斯克标志
bastille day,巴士底日
bat ears,蝙蝠耳
bathing,沐浴
batiment,建筑
battlements,城垛
bauble,圣诞球
baubles,圣诞球
bay horse,栗色马
beach,海滩
beachside,海边
beak,喙
bear,熊
beard,胡须
beaute,美丽
beautiful animal,美丽的动物
beautiful flower,美丽的花
beautiful girl,美丽女孩
beautiful insect,美丽的昆虫
beautiful landscape,美丽风景
beautiful presentation,精美展示
beautiful sky,美丽天空
beautiful sunset,美丽日落
beautiful wallpaper,唯美壁纸
beauty,美丽
beauty in nature,自然之美
beauty nature,自然之美
beauty of nature,自然之美
bed,床
bedding,床上用品
bedding plant,花坛植物
bedding plants,花坛植物
bedroom,卧室
bee,蜜蜂
beer,啤酒
beet sprouts,甜菜芽
beetle,甲虫
begonia,秋海棠
begonias,秋海棠
beige,米色
belfry,钟楼
bell,钟
bell gable,钟墙
bell tower,钟楼
bell towers,钟楼
bell turret,小钟楼
bell-shaped flowers,钟形花
belle epoque,美好年代
belle époque,美好年代
bench,长椅
beret,贝雷帽
beverage,饮料
bezel,表圈
bicolor flowers,双色花
bicycle,自行车
bicycle wheel,自行车轮
big ben,大本钟
big ben model,大本钟模型
bike trip,骑行之旅
bilbao,毕尔巴鄂
billy goat,公山羊
bindweed,旋花
biodiversity,生物多样性
bird,鸟
bird colony,鸟群
bird portrait,鸟类肖像
birdcage,鸟笼
birds,鸟类
black,黑色
black and white,黑白
black and white animal,黑白动物
black and white art,黑白艺术
black and white background,黑白背景
black and white cat,黑白猫
black background,黑色背景
black cat,黑猫
black conical roof,黑色锥形屋顶
black forest clock,黑森林钟
black sun,黑色太阳
blackberries,黑莓
blackboard,黑板
bladder wrack,墨角藻
blade,刀刃
blanc,白色
blanche,白色
blazing fire,熊熊烈火
blocky figurine,方块手办
blond man,金发男子
blonde,金发
blonde d'aquitaine,阿基坦金牛
bloom,绽放
blooming,盛开
