photo,lien,titre,mots_cles
37296561,https://www.pexels.com/photo/37296561/,Coffee beans poured from a wooden scoop into a manual grinder,"coffee beans, roasted coffee beans, manual grinder, coffee grinder, burr grinder, wooden scoop, coffee accessories, coffee preparation, specialty coffee, coffee lover, barista, coffee, kitchen, drink, close-up, metal, wood, brown, black, vertical"
37296558,https://www.pexels.com/photo/37296558/,Toasted bread slices and a crouton soup bowl on a cutting board,"toasted bread, bread slices, soup, croutons, white bowl, folding knife, wooden handle, cutting board, wooden board, bread, rustic, comfort food, homemade, kitchen, authentic, meal, food, brown, still life, food photography"
37296469,https://www.pexels.com/photo/37296469/,Pouring tea from a celadon gaiwan into a white porcelain cup,"pouring tea, gaiwan, celadon, lid, tea leaves, porcelain cup, floral pattern, hand, tea ceremony, gongfu tea, chinese tea, green tea, tea, cup, drink, ceramics, wooden table, tradition, amber, vertical"
37296468,https://www.pexels.com/photo/37296468/,Lily of the valley flowers blooming in bright sunlight by a wall,"lily of the valley, bell-shaped flowers, white flowers, green leaves, flower bed, stone wall, may day, lucky charm, flowers, garden, spring, sunlight, backlight, bokeh, nature, tradition, france, white, green, background"
37296467,https://www.pexels.com/photo/37296467/,Clay tea pet figurine on a wooden tray behind a porcelain gaiwan,"tea pet, clay figurine, gaiwan, porcelain, floral pattern, tea tray, wooden tray, tea ceremony, gongfu tea, chinese tea, tea, cup, ceramics, still life, selective focus, tradition, zen, blue, brown, vertical"
36946795,https://www.pexels.com/photo/36946795/,Extreme close-up of a sleeping tabby cat's face and pink nose,"tabby cat, cat face, sleeping cat, closed eyes, pink nose, whiskers, fur texture, stripes, cat, pet, domestic cat, animal, nap, tenderness, cute, macro, close-up, brown, grey, vertical"
36946794,https://www.pexels.com/photo/36946794/,Tabby cat dozing on a garden cushion while being stroked,"tabby cat, sleeping cat, cat paw, hand stroking, petting, garden cushion, garden chair, balcony, closed eyes, cat, pet, domestic cat, animal, relaxation, nap, tenderness, cute, comfort, grey, everyday life"
36652526,https://www.pexels.com/photo/36652526/,Country lane along a stream lined with trees in early spring,"country lane, dirt path, stream, bare trees, ivy, grass verge, dandelions, meadow, shadows, path, walk, hiking, exploration, countryside, nature, early spring, sunlight, blue sky, green, outdoors"
36652487,https://www.pexels.com/photo/36652487/,Man crossing a green footbridge under sunlit weeping willows,"footbridge, green railings, weeping willows, man walking, man, path, marsh, tree canopy, foliage, trees, bridge, walk, escape, nature, spring, sunlight, backlight, green, yellow, vertical"
36652486,https://www.pexels.com/photo/36652486/,Sparkling stream flowing through spring vegetation toward a calm lake,"stream, sparkling water, sun glints, lake, lakeshore, spring vegetation, green leaves, young shoots, yellow flowers, bare trees, water, flowing water, nature, spring, backlight, sunlight, life, green, vertical, outdoors"
