photo,titre_zh,mots_cles_zh
11294895,读报人像，法兰西文学,"肖像, 古代, 多云天空, 报纸, 回放, 挤压"
11323389,翻阅日记，遐想色雷斯,"天空, 多云天空, 阅读, 日记"
11496894,雪花玻璃球，圣诞暖意,"光效, 在家, 圣诞老人, 雪花玻璃球"
11496895,纸艺之花，巧手绽放,"花, 纸艺"
11497005,沉重消息，法兰西文学,"男人, 报纸"
11497006,翻开报纸，发现新知,"男人, 报纸"
11497007,头绪繁多，报纸中沉思,"男人, 报纸"
11497008,报纸下的小憩，法兰西文学,"男人, 报纸"
11497009,获取资讯，法兰西文学,"男人, 报纸"
11497010,读报时刻，法兰西文学,"男人, 报纸, 回放"
11876963,疫情下的站台，黑白记忆,"黑白, 车站, 新冠疫情照片, 新冠疫情, 站台"
11891040,水边鸭群，悠然自在,鸭子
11897639,公园一角，绿头鸭悠游,"公园, 鸭子, 绿头鸭"
11897642,劳工会所，古老建筑,"老建筑, 联盟"
11906092,市中心日落，光影成双,"市中心, 日落"
11932587,市政厅倒影，别样视角,"法国, 市政厅"
11938837,钢琴键上，音符游戏,"休息室, 乐器, 钢琴, 琴键"
11946983,车站天空，阳光旅愁,"户外, 天空, 美丽天空, 汽车, 阳光, 车站, 旅行癖"
11961131,黄昏花开，粉色绚烂,"花, 粉色, 美丽的花, 开花的树, 植物爱好者"
11968793,凋零花毯，梦幻余韵,"户外, 花朵, 粉色背景, 枯萎"
11968816,两道栅栏间，田野女子,"屏障, 自然, 女人, 田野, 金属网"
11978981,阴郁教堂，枯枝相伴,"树, 教堂, 树枝"
11991308,玻璃罩下，嫩芽初生,"花园, 栅栏, 紧凑, 花园棚屋"
11999253,田野牧马，悠然吃草,"田野, 马, 吃草"
11999254,老树盘根，田野旧迹,"树, 田野, 绿色背景"
11999255,洒水壶，静物一角,"紧凑, 洒水壶"
12063477,教堂静立，淡蓝天空,"教堂, 淡蓝色"
12073837,石板街巷，天空相映,"树, 地标, 美丽天空, 市中心, 交流"
12073840,木桥通幽，绿意盎然,"树木, 桥, 杂草丛生, 浅绿色背景, 木栏杆"
12073895,建筑曲线，晴空光影,"建筑, 光效, 晴朗蓝天"
12076680,英伦电话亭，街头一景,"示威游行, 英国, 电话亭"
12076681,昂古莱姆古建筑，蓝天映衬,"法国, 蓝天, 立面, 历史建筑, 昂古莱姆, 鲜艳, 优雅, 建筑, 户外, 欧洲, 遗产, 风景"
12084338,夏日河畔，绿意清凉,"树, 植被, 绿色背景, 河边"
12092035,昂古莱姆郊野，古桥遗迹,"植被, 废墟, 桥栏杆"
12092047,河畔白宅，象牙城堡,"美丽天空, 河岸, 豪华, 白色房子"
12100543,漫画之都，古迹遗韵,"废墟, 树, 古代, 道路, 历史建筑"
12112236,昂古莱姆晨雾，如纱笼罩,"美丽天空, 住所, 自然之美, 中心, 自然美景"
12441049,法式咖啡，拉花时光,"咖啡, 法式风格, 咖啡拉花, 咖啡爱好者, 汤匙"
12443176,普瓦捷屋顶，米色人家,"房屋, 米色, 住所, 豪宅"
12453008,猫影匆匆，岁月流逝,"猫, 隐藏, 破碎, 白蓝相间"
12461417,城市之美，惊艳邂逅,"风景, 白色, 植物, 植被, 城市, 杂草丛生, 墙, 美丽女孩"
12473274,橱窗黑猫，希望剪影,"动物, 猫, 黑色, 猫科动物, 黑猫, 皮毛动物, 家居展示, 橱窗"
12473320,城市花束，教堂映衬,"花朵, 教堂, 植被, 城市, 粉色"
12484797,绿意环绕，古迹地标,"自然, 建筑, 绿色, 地标, 教堂, 大教堂, 著名地标, 历史古迹, 灰色天空"
12484812,街头涂鸦，鸭趣台阶,"街道, 鸭子, 台阶, 涂鸦, 街头表演, 涂鸦艺术"
12496931,空旷天际，城市灰白,"天空, 城市, 白色天空, 灰色天空"
12516756,普瓦捷雕像，金色艺术,"雕塑, 树, 绿树, 艺术, 雕像, 金色雕像"
12581745,石墙傲立，直插云霄,"石头, 天空, 路灯柱, 灰色, 历史建筑"
12581896,城市绿植，蔓延生长,"自然, 绿色, 户外, 植物, 植被, 生活, 城市, 深绿色植物, 广角"
12956180,共和之夜，霞光余韵,"红色, 影子, 派对, 黑色, 夜晚, 美丽日落, 黄昏天空, 派对余兴, 云层"
12976374,南锡大教堂，信仰古迹,"南锡, 建筑, 教堂, 信仰, 宗教, 基督教, 历史古迹, 大教堂"
12976396,林间小径，幽深探秘,"树, 对比, 森林, 绿树, 绿色背景, 小路, 森林探险, 森林背景, 黑暗森林背景"
12985910,奶牛奔跑，乡野竞速,"户外, 动物, 运动, 动作, 奶牛, 渔网, 跑步, 牛, 牛群, 在路上"
12998724,耀眼立面，逆光市中心,"立面, 逆光, 光效, 市中心, 阳光, 阳光眩光, 环形灯"
13009455,孚日山脉，云雾缭绕,"自然, 多云天空, 渔网, 森林背景, 山脊, 山坡"
13009520,孚日山村，白云山脊,"村庄, 山脊, 山坡, 白色天空"
13009542,梦境黄昏，粉色云霞,"日落天空, 黄昏天空, 粉色云彩"
13020345,钟楼日落，静谧天空,"建筑, 教堂, 钟楼, 淡蓝色, 日落"
13020351,金色田野，自由天地,"田野, 美丽天空, 黄色背景"
13034675,湛蓝天空，云影悠悠,"蓝色, 云, 美丽天空, 淡蓝色, 蓝色背景, 天空云彩"
13034692,克桑吕湖畔，林水相映,"树, 水, 湖泊, 美丽风景, 森林背景"
13041926,山间湖泊，波光潋滟,"自然, 多云天空, 山, 湖泊, 山坡, 树桩"
13041935,隆热梅小教堂，信仰之光,"小教堂, 教堂, 云, 美丽天空, 信仰, 明亮天空, 宗教艺术, 宗教信仰"
13058086,鱼眼苍穹，天空之顶,"美丽天空, 多云天空, 淡蓝色, 蓝色背景, 鱼眼镜头"
